USDET,MI,BIG RAPIDS,,,,,,956,965,,,,,,,,818,,,,,,,,,,,,,,,,,,,,,,,,956," $1,106.00 "," $1,056.00 "," $1,006.00 ",ORD,138
USDET,OH,ELLSWORTH,,,,,,1016,1065,,,,,,,,878,,,,,,,,,,,,,,,,,,,,,,,,1016," $1,166.00 "," $1,116.00 "," $1,066.00 ",ORD,138
USDET,MI,HOPE,,,,,,720,745,,,,,,,,582,,,,,,,,,,,,,,,,,,,,,,,,720, $870.00 , $820.00 , $770.00 ,ORD,138
USJAX,AL,NEWVILLE,,,,,,,,,,,,,,,,,,,,,,,,,981,,,,,,,,,,1119,,,,1119," $1,269.00 "," $1,219.00 "," $1,194.00 ",ATL,138
USLUI,KY,ADOLPHUS,,,,,,720,795,,,,,,,,582,,,,,,,,,,,,,,,,,,,,,,,,720, $870.00 , $820.00 , $770.00 ,ORD,138
USLUI,KY,CENTER,,,,,,720,795,,,,,,,,582,,,,,,,,,,,,,,,,,,,,,,,,720, $870.00 , $820.00 , $770.00 ,ORD,138
USLUI,KY,TYNER,,,,,,814,885,,,,,,,,676,,,,,,,,,,,,,,,,,,,,,,,,814, $964.00 , $914.00 , $864.00 ,ORD,138
USMKC,KS,AMERICUS,,,,,,805,800,,,,,,,,577,,,,,,,,,,715,,,,,,,,,,,,,,715, $865.00 , $815.00 , $765.00 ,ORD,138
USMKC,IA,IOWA CITY,,,,,,1467,1475,,,,,,,,1329,,,,,,,,,,1512,,,,,,,,,,,,,,1467," $1,617.00 "," $1,567.00 "," $1,517.00 ",ORD,138
USMKC,IA,KALONA,,,,,,1535,1525,,,,,,,,1387,,,,,,,,,,1578,,,,,,,,,,,,,,1525," $1,675.00 "," $1,625.00 "," $1,575.00 ",ORD,138
USNYC,NY,CATTARAUGUS,,,,,,,1679,,,,,,,,1819,,,,,,,,,,1817,,,,,,,,,,,,,,1817," $1,967.00 "," $1,942.00 "," $1,917.00 ",EWR,138
USNYC,NH,CHARLESTOWN,,,,,,,1134,,,,,,,,1475,,,,,,,,,,1272,,,,,,,,,,1459,,,,1272," $1,422.00 "," $1,397.00 "," $1,372.00 ",EWR,138
USNYC,NY,CONSTABLE,,,,,,,1645,,,,,,,,1790,,,,,,,,,,1783,,,,,,,,,,,,,,1783," $1,933.00 "," $1,908.00 "," $1,883.00 ",EWR,138
USNYC,NH,EAST HAMPSTEAD,,,,,,,1168,,,,,,,,1422,,,,,,,,,,1306,,,,,,,,,,1499,,,,1306," $1,456.00 "," $1,431.00 "," $1,406.00 ",EWR,138
USNYC,NH,GILFORD,,,,,,,1408,,,,,,,,1640,,,,,,,,,,1546,,,,,,,,,,,,,,1546," $1,696.00 "," $1,671.00 "," $1,646.00 ",EWR,138
USNYC,NY,JAMESTOWN,,,,,,,1755,,,,,,,,1907,,,,,,,,,,1893,,,,,,,,,,,,,,1893," $2,043.00 "," $2,018.00 "," $1,993.00 ",EWR,138
USNYC,NH,KINGSTON,,,,,,,1182,,,,,,,,1451,,,,,,,,,,1320,,,,,,,,,,1509,,,,1320," $1,470.00 "," $1,445.00 "," $1,420.00 ",EWR,138
USNYC,NY,LISLE,,,,,,,,,,,,,,,,,,,,,,,,,861,,,,,,,,,,999,,,,999," $1,149.00 "," $1,124.00 "," $1,099.00 ",EWR,138
USNYC,NY,MC DONOUGH,,,,,,,,,,,,,,,,,,,,,,,,,901,,,,,,,,,,1039,,,,1039," $1,189.00 "," $1,164.00 "," $1,139.00 ",EWR,138
USNYC,NH,MERRIMACK,,,,,,,1151,,,,,,,,1422,,,,,,,,,,1289,,,,,,,,,,1419,,,,1289," $1,439.00 "," $1,414.00 "," $1,389.00 ",EWR,138
USNYC,CT,NEW FAIRFIELD,,,,,,,,,,,,,,,,,,,,,,,,,711,,,,,,,,,,849,,,,849, $999.00 , $974.00 , $949.00 ,EWR,138
USNYC,NY,OUAQUAGA,,,,,,,,,,,,,,,,,,,,,,,,,861,,,,,,,,,,999,,,,999," $1,149.00 "," $1,124.00 "," $1,099.00 ",EWR,138
USNYC,NH,PLAISTOW,,,,,,,1147,,,,,,,,1422,,,,,,,,,,1285,,,,,,,,,,1529,,,,1285," $1,435.00 "," $1,410.00 "," $1,385.00 ",EWR,138
USNYC,CT,REDDING RIDGE,,,,,,,,,,,,,,,,,,,,,,,,,711,,,,,,,,,,849,,,,849, $999.00 , $974.00 , $949.00 ,EWR,138
USNYC,MA,ROCHESTER,,,,,,,,,,,,,,,,,,,,,,,,,1221,,,,,,,,,,1359,,,,1359," $1,509.00 "," $1,484.00 "," $1,459.00 ",EWR,138
USNYC,NY,SOUTH NEW BERLIN,,,,,,,,,,,,,,,,,,,,,,,,,861,,,,,,,,,,999,,,,999," $1,149.00 "," $1,124.00 "," $1,099.00 ",EWR,138
USNYC,NH,WINDHAM,,,,,,,1142,,,,,,,,1422,,,,,,,,,,1280,,,,,,,,,,1489,,,,1280," $1,430.00 "," $1,405.00 "," $1,380.00 ",EWR,138
USORF,NC,CARY,,,,,,,907,,,,,,,,917,,,,,,,,,,,,,,,,,,,,769,,,,907," $1,057.00 "," $1,007.00 ", $982.00 ,ATL,138
USORF,MD,GLYNDON,,,,,,,,,,,,,,,,,,,,,,,,,871,,,,,,,,,,1009,,,,1009," $1,159.00 "," $1,134.00 "," $1,109.00 ",EWR,138
USPEF,FL,AUBURNDALE,,,,,,1180,1050,,,,,,,,,,,,1190,,,,,,912,,,,,,,,,,,,,,1050," $1,175.00 "," $1,150.00 "," $1,100.00 ",MIA,138
USPEF,FL,DAVENPORT,,,,,,1190,1050,,,,,,,,,,,,1200,,,,,,912,,,,,,,,,,,,,,1050," $1,175.00 "," $1,150.00 "," $1,100.00 ",MIA,138
USPEF,FL,LAKE ALFRED,,,,,,1190,1050,,,,,,,,,,,,1200,,,,,,912,,,,,,,,,,,,,,1050," $1,175.00 "," $1,150.00 "," $1,100.00 ",MIA,138
USPEF,FL,LAKELAND,,,,,,1190,1050,,,,,,,,,,,,1200,,,,,,912,,,,,,,,,,,,,,1050," $1,175.00 "," $1,150.00 "," $1,100.00 ",MIA,138
USPEF,FL,MULBERRY,,,,,,1190,1050,,,,,,,,,,,,1200,,,,,,912,,,,,,,,,,,,,,1050," $1,175.00 "," $1,150.00 "," $1,100.00 ",MIA,138
USPEF,FL,WEST PALM BEACH,,,,,,630,540,,,,,,,,,,,,640,,,,,,402,,,,,,,,,,,,,,540, $665.00 , $640.00 , $590.00 ,MIA,138
USSAV,SC,EASTOVER,,,,,,,,,,,,,,,,,,,,,,,,,531,,,,,,,,,,669,,,,669, $819.00 , $769.00 , $744.00 ,ATL,138
USSAV,SC,GADSDEN,,,,,,,,,,,,,,,,,,,,,,,,,531,,,,,,,,,,669,,,,669, $819.00 , $769.00 , $744.00 ,ATL,138
USSAV,GA,WRAY,,,,,,,,,,,,,,,,,,,,,,,,,531,,,,,,,,,,669,,,,669, $819.00 , $769.00 , $744.00 ,ATL,138
USSTL,MO,FULTON,,,,,,590,600,,,,,,,,452,,,,,,,,,,655,,,,,,,,,,,,,,590, $740.00 , $690.00 , $640.00 ,ORD,138
USATL,AL,FAIR HOPE,,,,,,,1325,,,,,,,,1188,,,,,,,,,,1374,,,,,,,,,,,,,,1325," $1,475.00 "," $1,425.00 "," $1,400.00 ",ATL,137
USBAL,VA,BRANDY STATION,,,,,,,,,,,,,,,,,,,,,,,,,582,,,,,,,,,,719,,,,719, $869.00 , $844.00 , $819.00 ,EWR,137
USBAL,PA,COLVER,,,,,,,,,,,,,,,,,,,,,,,,,902,,,,,,,,,,1039,,,,1039," $1,189.00 "," $1,164.00 "," $1,139.00 ",EWR,137
USBAL,PA,FALLENTIMBER,,,,,,,,,,,,,,,,,,,,,,,,,902,,,,,,,,,,1039,,,,1039," $1,189.00 "," $1,164.00 "," $1,139.00 ",EWR,137
USBAL,MD,GERMANTOWN,,,,,,510,510,,,,,,,,373,,,,,,,,,,575,,,,,,,,,,549,,,,510, $660.00 , $635.00 , $610.00 ,EWR,137
USBAL,PA,GIBBON GLADE,,,,,,,,,,,,,,,,,,,,,,,,,902,,,,,,,,,,1039,,,,1039," $1,189.00 "," $1,164.00 "," $1,139.00 ",EWR,137
USBAL,PA,HOPWOOD,,,,,,,,,,,,,,,,,,,,,,,,,902,,,,,,,,,,1039,,,,1039," $1,189.00 "," $1,164.00 "," $1,139.00 ",EWR,137
USBAL,VA,MARSHALL,,,,,,,,,,,,,,,,,,,,,,,,,552,,,,,,,,,,689,,,,689, $839.00 , $814.00 , $789.00 ,EWR,137
USBAL,VA,MIDLAND,,,,,,,,,,,,,,,,,,,,,,,,,552,,,,,,,,,,689,,,,689, $839.00 , $814.00 , $789.00 ,EWR,137
USBOS,MA,HAVERHILL,,,,,,435,435,,,,,,,,,,,,,,,,,,500,,,,298,,,,,,439,,,,435, $585.00 , $560.00 , $535.00 ,EWR,137
USBOS,NY,NARROWSBURG,,,,,,,,,,,,,,,,,,,,,,,,,1396,,,,,,,,,,1259,,,,1396," $1,546.00 "," $1,521.00 "," $1,496.00 ",EWR,137
USCHI,IN,ALBION,,,,,,748,775,,,,,,,,758,,,,,,,,,,588,,,,,,,,,,,,725,,725, $875.00 , $825.00 , $775.00 ,ORD,137
USCHI,WI,CASCO,,,,,,1220,1125,,,,,,,,1230,,,,,,,,,,988,,,,,,,,,,,,1126,,1125," $1,275.00 "," $1,225.00 "," $1,175.00 ",ORD,137
USCHI,MI,FAIRVIEW,,,,,,1634,1600,,,,,,,,1644,,,,,,,,,,1463,,,,,,,,,,,,,,1600," $1,750.00 "," $1,700.00 "," $1,650.00 ",ORD,137
USCHI,MI,FENTON,,1263,,1200,,1063,1250,,,,,,,,1353,,,,,,,,,,1211,,,,,,,,,,,,1380,,1200," $1,350.00 "," $1,300.00 "," $1,250.00 ",ORD,137
USCHI,IA,GOLDFIELD,,,,,,1647,1600,,,,,,,,1657,,,,,,,,,,1463,,,,,,,,,,,,,,1600," $1,750.00 "," $1,700.00 "," $1,650.00 ",ORD,137
USCHI,IA,GOODELL,,,,,,1649,1600,,,,,,,,1659,,,,,,,,,,1463,,,,,,,,,,,,,,1600," $1,750.00 "," $1,700.00 "," $1,650.00 ",ORD,137
USCHI,OH,MENTOR,,,,,,1632,1600,,,,,,,,1642,,,,,,,,,,1463,,,,,,,,,,,,,,1600," $1,750.00 "," $1,700.00 "," $1,650.00 ",ORD,137
USCHI,MN,RED WING,,,,,,1648,1600,,,,,,,,1658,,,,,,,,,,1463,,,,,,,,,,,,,,1600," $1,750.00 "," $1,700.00 "," $1,650.00 ",ORD,137
USCHI,WI,WESTBY,,,,,,1337,1245,,,,,,,,,,,,,,,,,,1108,,,,,,,,,,,,,,1245," $1,395.00 "," $1,345.00 "," $1,295.00 ",ORD,137
USCHS,NC,CLEVELAND,,,,,,,1050,,,,,,,,1030,,,,,,,,,,862,,,,,,,,,,999,,,,999," $1,149.00 "," $1,099.00 "," $1,074.00 ",ATL,137
USCHS,GA,ENIGMA,,,,,,,,,,,,,,,,,,,,,,,,,902,,,,,,,,,,1039,,,,1039," $1,189.00 "," $1,139.00 "," $1,114.00 ",ATL,137
USCHS,NC,GOLDSTON,,,,,,,,,,,,,,,,,,,,,,,,,862,,,,,,,,,,999,,,,999," $1,149.00 "," $1,099.00 "," $1,074.00 ",ATL,137
USCHS,TN,KNOXVILLE,,,,,,,1515,,,,,,,,1433,,,,,,,,,,1296,,,,,,,,,,,,,,1433," $1,608.00 "," $1,558.00 "," $1,533.00 ",HOU,137
USCHS,GA,PINEVIEW,,,,,,,,,,,,,,,,,,,,,,,,,902,,,,,,,,,,1039,,,,1039," $1,189.00 "," $1,139.00 "," $1,114.00 ",ATL,137
USCHS,GA,STATENVILLE,,,,,,,,,,,,,,,,,,,,,,,,,902,,,,,,,,,,1039,,,,1039," $1,189.00 "," $1,139.00 "," $1,114.00 ",ATL,137
USCHS,SC,TAMASSEE,,,,,,,,,,,,,,,,,,,,,,,,,862,,,,,,,,,,999,,,,999," $1,149.00 "," $1,099.00 "," $1,074.00 ",ATL,137
USCMH,IN,KOKOMO,,,,,,,795,,,,,,,,932,,,,,,,,,,,,,,,,,,,,,,,,932," $1,082.00 "," $1,032.00 ", $982.00 ,ORD,137
USCMH,KY,RAYMOND,,,,,,,900,,,,,,,,1037,,,,,,,,,,,,,,,,,,,,,,,,1037," $1,187.00 "," $1,137.00 "," $1,087.00 ",ORD,137
USCMH,IN,UNIONVILLE,,,,,,,825,,,,,,,,962,,,,,,,,,,,,,,,,,,,,,,,,962," $1,112.00 "," $1,062.00 "," $1,012.00 ",ORD,137
USCVG,IL,MOMENCE,,,,,,,1050,,,,,,,,,,,,,,,,,,1187,,,,,,,,,,,,,,1187," $1,337.00 "," $1,287.00 "," $1,237.00 ",ORD,137
USDET,OH,LOUISVILLE,,,,,,1008,1030,,,,,,,,871,,,,,,,,,,,,,,,,,,,,,,,,1008," $1,158.00 "," $1,108.00 "," $1,058.00 ",ORD,137
USHOU,TX,HONDO,,,,,,,,,,,,,,,,,,,,,,,,,942,,,,,,,,,,1079,,,,1079," $1,254.00 "," $1,204.00 "," $1,179.00 ",HOU,137
USJAX,GA,BUTLER,,,,,,,,,,,,,,,,,,,,,,,,,992,,,,,,,,,,1129,,,,1129," $1,279.00 "," $1,229.00 "," $1,204.00 ",ATL,137
USLUI,IN,SAINT CROIX,,,,,,400,480,,,,,,,,263,,,,,,,,,,,,,,,,,,,,,,,,400, $550.00 , $500.00 , $450.00 ,ORD,137
USLUI,IN,WALLACE,,,,,,959,990,,,,,,,,822,,,,,,,,,,,,,,,,,,,,,,,,959," $1,109.00 "," $1,059.00 "," $1,009.00 ",ORD,137
USMKC,IA,ALLISON,,,,,,1471,1475,,,,,,,,1334,,,,,,,,,,1516,,,,,,,,,,,,,,1471," $1,621.00 "," $1,571.00 "," $1,521.00 ",ORD,137
USMKC,IA,CHEROKEE,,,,,,1459,1450,,,,,,,,1313,,,,,,,,,,1504,,,,,,,,,,,,,,1450," $1,600.00 "," $1,550.00 "," $1,500.00 ",ORD,137
USMOB,LA,SICILY ISLAND,,,,,,,,,,,,,,,,,,,,,,,,,1146,,,,,,,,,,1009,,,,1146," $1,271.00 "," $1,246.00 "," $1,196.00 ",MIA,137
USNYC,CT,BOTSFORD,,,,,,,,,,,,,,,,,,,,,,,,,732,,,,,,,,,,869,,,,869," $1,019.00 ", $994.00 , $969.00 ,EWR,137
USNYC,NH,BOW,,,,,,,1248,,,,,,,,1509,,,,,,,,,,1385,,,,,,,,,,1549,,,,1385," $1,535.00 "," $1,510.00 "," $1,485.00 ",EWR,137
USNYC,MA,FISKDALE,,,,,,,,,,,,,,,,,,,,,,,,,912,,,,,,,,,,1049,,,,1049," $1,199.00 "," $1,174.00 "," $1,149.00 ",EWR,137
USNYC,NY,HOFFMEISTER,,,,,,,,,,,,,,,,,,,,,,,,,1066,,,,,,,,,,929,,,,1066," $1,216.00 "," $1,191.00 "," $1,166.00 ",EWR,137
USNYC,MA,HYANNIS,,,,,,,1226,,,,,,,,1363,,,,,,,,,,,,,,,,,,,,1489,,,,1363," $1,513.00 "," $1,488.00 "," $1,463.00 ",EWR,137
USNYC,NH,NEW CASTLE,,,,,,,1274,,,,,,,,1514,,,,,,,,,,1411,,,,,,,,,,1469,,,,1411," $1,561.00 "," $1,536.00 "," $1,511.00 ",EWR,137
USNYC,NH,NEWTON,,,,,,,1169,,,,,,,,1645,,,,,,,,,,1306,,,,,,,,,,1529,,,,1306," $1,456.00 "," $1,431.00 "," $1,406.00 ",EWR,137
USNYC,MA,NORTH WEYMOUTH,,,,,,,,,,,,,,,,,,,,,,,,,1262,,,,,,,,,,1399,,,,1399," $1,549.00 "," $1,524.00 "," $1,499.00 ",EWR,137
USNYC,MA,ORANGE,,,,,,,1266,,,,,,,,1276,,,,,,,,,,,,,,,,,,,,1129,,,,1266," $1,416.00 "," $1,391.00 "," $1,366.00 ",EWR,137
USNYC,PA,SCHENLEY,,,,,,,1640,,,,,,,,1698,,,,,,,,,,1503,,,,,,,,,,,,,,1640," $1,790.00 "," $1,765.00 "," $1,740.00 ",EWR,137
USNYC,CT,SHERMAN,,,,,,,,,,,,,,,,,,,,,,,,,732,,,,,,,,,,869,,,,869," $1,019.00 ", $994.00 , $969.00 ,EWR,137
USNYC,CT,STEVENSON,,,,,,,,,,,,,,,,,,,,,,,,,732,,,,,,,,,,869,,,,869," $1,019.00 ", $994.00 , $969.00 ,EWR,137
USNYC,CT,WOODBRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,732,,,,,,,,,,869,,,,869," $1,019.00 ", $994.00 , $969.00 ,EWR,137
USOAK,CA,ALTA,,,,,,760,745,,,,,,,,,,,,,,,,,,825,,,900,503,,640,,,,,,,,640, $765.00 , $740.00 , $715.00 ,LAX,137
USORF,NC,STATESVILLE,,,,,,,1365,,,,,,,,1228,,,,,,,,,,,,,,,,,,,,,,,,1365," $1,515.00 "," $1,465.00 "," $1,440.00 ",ATL,137
USPHL,NY,AURORA,,,,,,,,,,,,,,,,,,,,,,,,,1406,,,,,,,,,,1269,,,,1406," $1,556.00 "," $1,531.00 "," $1,506.00 ",EWR,137
USPHL,PA,BRADDOCK,,,,,,,,,,,,,,,,,,,,,,,,,1556,,,,,,,,,,1419,,,,1556," $1,706.00 "," $1,681.00 "," $1,656.00 ",EWR,137
USPHL,MD,CRISFIELD,,,,,,,,,,,,,,,,,,,,,,,,,742,,,,,,,,,,879,,,,879," $1,029.00 "," $1,004.00 ", $979.00 ,EWR,137
USPHL,NY,FAYETTEVILLE,,,,,,,,,,,,,,,,,,,,,,,,,1396,,,,,,,,,,1259,,,,1396," $1,546.00 "," $1,521.00 "," $1,496.00 ",EWR,137
USPHL,NY,MANLIUS,,,,,,,,,,,,,,,,,,,,,,,,,1406,,,,,,,,,,1269,,,,1406," $1,556.00 "," $1,531.00 "," $1,506.00 ",EWR,137
USPHL,NY,NEW CITY,,,,,,,,,,,,,,,,,,,,,,,,,876,,,,,,,,,,739,,,,876," $1,026.00 "," $1,001.00 ", $976.00 ,EWR,137
USPHL,VA,WINDSOR,,,,,,,,,,,,,,,,,,,,,,,,,1556,,,,,,,,,,1419,,,,1556," $1,706.00 "," $1,681.00 "," $1,656.00 ",EWR,137
USPIT,PA,DARLINGTON,,,,,,,485,,,,,,,,348,,,,,,,,,,,,,,,,,,,,,,,,485, $635.00 , $610.00 , $585.00 ,EWR,137
USPIT,PA,EASTON,,,,,,,1940,,,,,,,,,,,,,,,,,,2077,,,,,,,,,,,,,,2077," $2,227.00 "," $2,202.00 "," $2,177.00 ",EWR,137
USPIT,PA,HARRISON CITY,,,,,,,380,,,,,,,,243,,,,,,,,,,,,,,,,,,,,,,,,380, $530.00 , $505.00 , $480.00 ,EWR,137
USBAL,PA,ALVERTON,,,,,,,,,,,,,,,,,,,,,,,,,953,,,,,,,,,,1089,,,,1089," $1,239.00 "," $1,214.00 "," $1,189.00 ",EWR,136
USBAL,PA,ARCHBALD,,,,,,,,,,,,,,,,,,,,,,,,,953,,,,,,,,,,1089,,,,1089," $1,239.00 "," $1,214.00 "," $1,189.00 ",EWR,136
USBAL,NJ,ATCO,,,,,,,,,,,,,,,,,,,,,,,,,593,,,,,,,,,,729,,,,729, $879.00 , $854.00 , $829.00 ,EWR,136
USBAL,PA,CURWENSVILLE,,,,,,,,,,,,,,,,,,,,,,,,,953,,,,,,,,,,1089,,,,1089," $1,239.00 "," $1,214.00 "," $1,189.00 ",EWR,136
USBAL,PA,DALTON,,,,,,,,,,,,,,,,,,,,,,,,,953,,,,,,,,,,1089,,,,1089," $1,239.00 "," $1,214.00 "," $1,189.00 ",EWR,136
USBAL,NJ,DOROTHY,,,,,,,,,,,,,,,,,,,,,,,,,593,,,,,,,,,,729,,,,729, $879.00 , $854.00 , $829.00 ,EWR,136
USBAL,NY,FARMINGVILLE,,,,,,,,,,,,,,,,,,,,,,,,,1355,,,,,,,,,,1219,,,,1355," $1,505.00 "," $1,480.00 "," $1,455.00 ",EWR,136
USBAL,PA,FRENCHVILLE,,,,,,,,,,,,,,,,,,,,,,,,,953,,,,,,,,,,1089,,,,1089," $1,239.00 "," $1,214.00 "," $1,189.00 ",EWR,136
USBAL,PA,GLEN RICHEY,,,,,,,,,,,,,,,,,,,,,,,,,953,,,,,,,,,,1089,,,,1089," $1,239.00 "," $1,214.00 "," $1,189.00 ",EWR,136
USBAL,PA,GRANVILLE SUMMIT,,,,,,,,,,,,,,,,,,,,,,,,,953,,,,,,,,,,1089,,,,1089," $1,239.00 "," $1,214.00 "," $1,189.00 ",EWR,136
USBAL,PA,JERMYN,,,,,,,,,,,,,,,,,,,,,,,,,953,,,,,,,,,,1089,,,,1089," $1,239.00 "," $1,214.00 "," $1,189.00 ",EWR,136
USBAL,PA,LA JOSE,,,,,,,,,,,,,,,,,,,,,,,,,953,,,,,,,,,,1089,,,,1089," $1,239.00 "," $1,214.00 "," $1,189.00 ",EWR,136
USBAL,PA,LECONTES MILLS,,,,,,,,,,,,,,,,,,,,,,,,,953,,,,,,,,,,1089,,,,1089," $1,239.00 "," $1,214.00 "," $1,189.00 ",EWR,136
USBAL,PA,MANSFIELD,,,,,,,,,,,,,,,,,,,,,,,,,953,,,,,,,,,,1089,,,,1089," $1,239.00 "," $1,214.00 "," $1,189.00 ",EWR,136
USBAL,NJ,MEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,593,,,,,,,,,,729,,,,729, $879.00 , $854.00 , $829.00 ,EWR,136
USBAL,NY,MEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,1355,,,,,,,,,,1219,,,,1355," $1,505.00 "," $1,480.00 "," $1,455.00 ",EWR,136
USBAL,VA,MILFORD,,,,,,,,,,,,,,,,,,,,,,,,,593,,,,,,,,,,729,,,,729, $879.00 , $854.00 , $829.00 ,EWR,136
USBAL,PA,MILL CREEK,,,,,,,,,,,,,,,,,,,,,,,,,773,,,,,,,,,,909,,,,909," $1,059.00 "," $1,034.00 "," $1,009.00 ",EWR,136
USBAL,NJ,MILMAY,,,,,,,,,,,,,,,,,,,,,,,,,593,,,,,,,,,,729,,,,729, $879.00 , $854.00 , $829.00 ,EWR,136
USBAL,NJ,MOUNT LAUREL,,,,,,,,,,,,,,,,,,,,,,,,,593,,,,,,,,,,729,,,,729, $879.00 , $854.00 , $829.00 ,EWR,136
USBAL,NJ,NEWTONVILLE,,,,,,,,,,,,,,,,,,,,,,,,,593,,,,,,,,,,729,,,,729, $879.00 , $854.00 , $829.00 ,EWR,136
USBAL,PA,OLANTA,,,,,,,,,,,,,,,,,,,,,,,,,953,,,,,,,,,,1089,,,,1089," $1,239.00 "," $1,214.00 "," $1,189.00 ",EWR,136
USBAL,PA,POTTERSDALE,,,,,,,,,,,,,,,,,,,,,,,,,953,,,,,,,,,,1089,,,,1089," $1,239.00 "," $1,214.00 "," $1,189.00 ",EWR,136
USBAL,VA,PROSPECT,,,,,,,,,,,,,,,,,,,,,,,,,953,,,,,,,,,,1089,,,,1089," $1,239.00 "," $1,214.00 "," $1,189.00 ",EWR,136
USBAL,NJ,RIVERSIDE,,,,,,,,,,,,,,,,,,,,,,,,,593,,,,,,,,,,729,,,,729, $879.00 , $854.00 , $829.00 ,EWR,136
USBAL,NJ,SUSSEX,,,,,,,,,,,,,,,,,,,,,,,,,953,,,,,,,,,,1089,,,,1089," $1,239.00 "," $1,214.00 "," $1,189.00 ",EWR,136
USBAL,PA,TARRS,,,,,,,,,,,,,,,,,,,,,,,,,953,,,,,,,,,,1089,,,,1089," $1,239.00 "," $1,214.00 "," $1,189.00 ",EWR,136
USBAL,PA,TOWANDA,,,,,,,,,,,,,,,,,,,,,,,,,953,,,,,,,,,,1089,,,,1089," $1,239.00 "," $1,214.00 "," $1,189.00 ",EWR,136
USBAL,PA,TUNKHANNOCK,,,,,,,,,,,,,,,,,,,,,,,,,953,,,,,,,,,,1089,,,,1089," $1,239.00 "," $1,214.00 "," $1,189.00 ",EWR,136
USBAL,NJ,WILLINGBORO,,,,,,,,,,,,,,,,,,,,,,,,,593,,,,,,,,,,729,,,,729, $879.00 , $854.00 , $829.00 ,EWR,136
USBAL,NY,WILLOW,,,,,,,,,,,,,,,,,,,,,,,,,1535,,,,,,,,,,1399,,,,1535," $1,685.00 "," $1,660.00 "," $1,635.00 ",EWR,136
USBOS,PA,BENSALEM,,,,,,,,,,,,,,,,,,,,,,,,,1525,,,,,,,,,,1389,,,,1525," $1,675.00 "," $1,650.00 "," $1,625.00 ",EWR,136
USBOS,NJ,BROWNS MILLS,,,,,,,,,,,,,,,,,,,,,,,,,1535,,,,,,,,,,1399,,,,1535," $1,685.00 "," $1,660.00 "," $1,635.00 ",EWR,136
USBOS,NJ,FORKED RIVER,,,,,,,,,,,,,,,,,,,,,,,,,1515,,,,,,,,,,1379,,,,1515," $1,665.00 "," $1,640.00 "," $1,615.00 ",EWR,136
USBOS,ME,HARRINGTON,,,,,,,,,,,,,,,,,,,,,,,,,1525,,,,,,,,,,1389,,,,1525," $1,675.00 "," $1,650.00 "," $1,625.00 ",EWR,136
USBOS,PA,HERRICK CENTER,,,,,,,,,,,,,,,,,,,,,,,,,1525,,,,,,,,,,1389,,,,1525," $1,675.00 "," $1,650.00 "," $1,625.00 ",EWR,136
USBOS,PA,HUNTINGDON VALLEY,,,,,,,,,,,,,,,,,,,,,,,,,1535,,,,,,,,,,1399,,,,1535," $1,685.00 "," $1,660.00 "," $1,635.00 ",EWR,136
USBOS,NY,LEEDS,,,,,,,,,,,,,,,,,,,,,,,,,773,,,,,,,,,,909,,,,909," $1,059.00 "," $1,034.00 "," $1,009.00 ",EWR,136
USBOS,ME,MATTAWAMKEAG,,,,,,,,,,,,,,,,,,,,,,,,,1515,,,,,,,,,,1379,,,,1515," $1,665.00 "," $1,640.00 "," $1,615.00 ",EWR,136
USBOS,NJ,MOORESTOWN,,,,,,,,,,,,,,,,,,,,,,,,,1535,,,,,,,,,,1399,,,,1535," $1,685.00 "," $1,660.00 "," $1,635.00 ",EWR,136
USBOS,NY,NORTH PITCHER,,,,,,,,,,,,,,,,,,,,,,,,,1515,,,,,,,,,,1379,,,,1515," $1,665.00 "," $1,640.00 "," $1,615.00 ",EWR,136
USBOS,PA,OTTSVILLE,,,,,,,,,,,,,,,,,,,,,,,,,1515,,,,,,,,,,1379,,,,1515," $1,665.00 "," $1,640.00 "," $1,615.00 ",EWR,136
USBOS,NY,PORT CRANE,,,,,,,,,,,,,,,,,,,,,,,,,1535,,,,,,,,,,1399,,,,1535," $1,685.00 "," $1,660.00 "," $1,635.00 ",EWR,136
USBOS,PA,SCIOTA,,,,,,,,,,,,,,,,,,,,,,,,,1515,,,,,,,,,,1379,,,,1515," $1,665.00 "," $1,640.00 "," $1,615.00 ",EWR,136
USBOS,PA,STARLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,1535,,,,,,,,,,1399,,,,1535," $1,685.00 "," $1,660.00 "," $1,635.00 ",EWR,136
USBOS,ME,SWANS ISLAND,,,,,,,,,,,,,,,,,,,,,,,,,1515,,,,,,,,,,1379,,,,1515," $1,665.00 "," $1,640.00 "," $1,615.00 ",EWR,136
USBOS,PA,TAYLOR,,,,,,,,,,,,,,,,,,,,,,,,,1525,,,,,,,,,,1389,,,,1525," $1,675.00 "," $1,650.00 "," $1,625.00 ",EWR,136
USCHI,IL,CERRO GORDO,,,,,,785,850,,,,,,,,795,,,,,,,,,,649,,,,,,,,,,,,796,,785, $935.00 , $885.00 , $835.00 ,ORD,136
USCHI,MI,PIGEON,,,,,,1609,1575,,,,,,,,1619,,,,,,,,,,1439,,,,,,,,,,,,,,1575," $1,725.00 "," $1,675.00 "," $1,625.00 ",ORD,136
